                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.4224,                 1.5224,                 1.6157,                0.60196,                 0.4645,                0.48955,                0.22197,                 1.9036,                   1.74,                 2.1758,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4126,                 1.5243,                 1.6032,                0.56524,                0.48436,                  0.475,                0.21874,                 1.9024,                 1.7473,                 2.1559,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.4074,                 1.5021,                    1.6,                0.57441,                0.46892,                0.47765,                0.22201,                 1.8624,                 1.7954,                 2.1283,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.4127,                 1.4891,                 1.6002,                0.57316,                0.46577,                 0.4651,                0.21544,                 1.8763,                  1.743,                 2.1531,                0.00901,                0.00901,                0.00901
                     52,                 1.4008,                 1.4844,                 1.5928,                0.60549,                 0.4552,                0.48273,                0.22363,                 1.8667,                 1.7461,                 2.1157,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.3782,                 1.4766,                 1.5838,                0.59125,                0.43745,                0.45887,                0.21046,                 1.8927,                 1.8129,                 2.1519,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.3911,                 1.4734,                 1.5901,                 0.5702,                0.48183,                0.47971,                0.21588,                 1.9087,                 1.7203,                 2.1649,              0.0089506,              0.0089506,              0.0089506
                     55,                  1.387,                 1.4727,                 1.5843,                0.53704,                0.48056,                0.46793,                0.21315,                 1.8788,                 1.7501,                 2.1413,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.3765,                 1.4613,                 1.5765,                 0.5769,                0.46112,                0.47994,                0.22536,                  1.857,                 1.7538,                 2.1245,               0.008911,               0.008911,               0.008911
                     57,                 1.3639,                 1.4339,                 1.5633,                0.58139,                0.45773,                0.47158,                0.21661,                 1.8842,                 1.7489,                 2.1475,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.3745,                 1.4405,                 1.5698,                0.56588,                0.47591,                0.47342,                0.21598,                 1.8864,                 1.7259,                 2.1466,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.3742,                  1.452,                 1.5549,                0.57973,                0.46112,                0.47466,                0.21422,                 1.9167,                 1.7486,                  2.152,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.3373,                 1.4079,                 1.5433,                 0.5687,                0.46872,                0.47338,                 0.2173,                 1.9054,                 1.7676,                  2.184,              0.0088318,              0.0088318,              0.0088318
                     61,                  1.347,                 1.4088,                 1.5476,                0.60153,                 0.4594,                0.47752,                0.21862,                 1.9116,                 1.7208,                 2.1867,               0.008812,               0.008812,               0.008812
                     62,                 1.3537,                 1.3876,                 1.5473,                0.57173,                0.47844,                0.47345,                0.21826,                 1.8808,                 1.7285,                 2.1343,              0.0087922,              0.0087922,              0.0087922
                     63,                  1.338,                 1.4004,                 1.5489,                0.58276,                0.48986,                0.49569,                0.23091,                 1.8844,                 1.7079,                 2.1551,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.3507,                 1.3901,                 1.5388,                0.58005,                0.46619,                0.47691,                 0.2142,                 1.9014,                 1.7565,                 2.1575,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.3247,                  1.385,                  1.539,                0.62457,                0.45393,                0.49384,                 0.2304,                 1.8634,                 1.7094,                 2.1373,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.3142,                 1.3669,                 1.5149,                0.56954,                0.48484,                 0.4767,                 0.2215,                 1.8713,                 1.7368,                 2.1203,               0.008713,               0.008713,               0.008713
                     67,                 1.3317,                  1.379,                 1.5291,                0.60105,                0.47253,                0.49488,                0.22676,                 1.8693,                 1.7096,                 2.1341,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.3318,                  1.384,                 1.5319,                0.57859,                0.49112,                0.48993,                0.23119,                 1.8432,                 1.7027,                 2.1172,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.3055,                 1.3341,                 1.5108,                 0.5937,                0.48604,                0.49742,                0.23022,                  1.865,                 1.7129,                 2.1515,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.3084,                 1.3378,                 1.5043,                0.59662,                0.47261,                0.48798,                0.22629,                 1.8965,                 1.7096,                 2.1611,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.2927,                 1.3223,                 1.5008,                0.58229,                0.45097,                0.45566,                0.21355,                 1.8709,                 1.7664,                  2.129,               0.008614,               0.008614,               0.008614
                     72,                 1.3016,                 1.3327,                 1.5139,                0.61602,                0.44886,                0.49224,                 0.2216,                 1.9117,                 1.7211,                 2.1943,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.2941,                  1.327,                 1.5025,                0.59747,                0.46915,                0.47513,                0.22487,                 1.8796,                 1.7183,                 2.1773,              0.0085744,              0.0085744,              0.0085744
                     74,                  1.283,                 1.2948,                  1.493,                0.59432,                0.49873,                0.49397,                0.23203,                 1.8685,                 1.6791,                 2.1439,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.2738,                 1.3016,                 1.4889,                0.60468,                0.47126,                 0.4969,                0.23321,                 1.8898,                 1.7028,                   2.17,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.2755,                 1.2794,                 1.4863,                0.58756,                0.47549,                0.48645,                0.23095,                 1.8718,                 1.6872,                 2.1416,               0.008515,               0.008515,               0.008515
                     77,                 1.2693,                 1.2901,                 1.4818,                0.59243,                 0.4814,                0.48844,                0.22859,                 1.8833,                 1.7037,                 2.1877,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.2675,                  1.289,                 1.4814,                 0.5978,                0.47933,                0.48893,                0.22479,                 1.8746,                 1.7285,                  2.153,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.2719,                 1.2789,                 1.4775,                0.60963,                0.48014,                0.48418,                 0.2272,                 1.8835,                 1.6707,                 2.1691,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.2549,                 1.2875,                 1.4746,                0.60681,                0.48267,                0.48713,                0.22646,                 1.8881,                 1.6936,                 2.1821,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.2403,                 1.2593,                   1.46,                0.59257,                0.46957,                0.48679,                0.22635,                 1.8813,                 1.7036,                 2.1707,               0.008416,               0.008416,               0.008416
                     82,                 1.2431,                 1.2509,                  1.471,                0.58225,                0.49028,                0.48811,                0.22637,                 1.9206,                 1.7011,                 2.2044,              0.0083962,              0.0083962,              0.0083962
